Date,BDI,BDI_lag_1,BDI_lag_2,BDI_lag_3,BDI_lag_7,BDI_lag_14,BDI_lag_30,Panamax_lag_1,Supramax_lag_1,Handysize_lag_1,BDI_mean_7,BDI_mean_20,BDI_mean_60,BDI_std_7,BDI_std_20,BDI_std_60,BDI_change_1,BDI_change_3,BDI_change_7,BDI_change_14,BDI_pct_change_1,BDI_pct_change_3,BDI_pct_change_7,BDI_pct_change_14,BDI_vs_mean_7,BDI_vs_mean_20,BDI_vs_mean_60,BDI_vs_mean_20_pct,BDI_vs_mean_60_pct,BDI_volatility_ratio,BDI_long_volatility_ratio,Panamax_change_1,Supramax_change_1,Handysize_change_1,Panamax_vs_BDI,Supramax_vs_BDI,Handysize_vs_BDI,Panamax_Supramax_spread,Supramax_Handysize_spread,Panamax_Handysize_spread,month,quarter,day_of_week,month_sin,month_cos,BDI_target_7
2017-03-13,1099.0,1086.0,1064.0,1045.0,904.0,778.0,816.0,1211.0,874.0,495.0,1035.0,882.65,882.5166666666667,57.726366015359865,134.52656751892937,111.71490525669208,13.0,54.0,195.0,321.0,0.0119705340699816,0.0516746411483253,0.2157079646017698,0.4125964010282776,64.0,216.35,216.4833333333333,0.2451141449045488,0.2453022605805367,0.1524121311039816,0.1265867370852585,-9.0,2.0,4.0,1.1019108280254777,0.7952684258416742,0.4504094631483166,337.0,379.0,716.0,3,1,0,1.0,6.123233995736766e-17,1190.0
2017-03-14,1112.0,1099.0,1086.0,1064.0,939.0,806.0,800.0,1207.0,875.0,499.0,1059.7142857142858,904.0,883.2333333333333,45.51818056458928,135.38833036862556,113.06131030118196,13.0,48.0,173.0,306.0,0.0118289353958143,0.0451127819548873,0.1842385516506921,0.379652605459057,52.28571428571422,208.0,228.76666666666665,0.2300884955752212,0.2590104540136619,0.1497658521776831,0.1280084277101354,-4.0,1.0,4.0,1.085431654676259,0.7868705035971223,0.4487410071942446,332.0,376.0,708.0,3,1,1,1.0,6.123233995736766e-17,1196.0
2017-03-15,1147.0,1112.0,1099.0,1086.0,979.0,856.0,786.0,1185.0,877.0,502.0,1083.7142857142858,926.95,884.8166666666667,39.7983009927608,135.74917853780337,116.08945873503336,35.0,61.0,168.0,291.0,0.0314748201438848,0.0561694290976058,0.1716036772216547,0.3399532710280373,63.28571428571422,220.04999999999995,262.1833333333333,0.2373914450617616,0.296313737309047,0.1464471422814643,0.1312017089058373,-22.0,2.0,3.0,1.033129904097646,0.7646033129904097,0.4376634699215344,308.0,375.0,683.0,3,1,2,1.0,6.123233995736766e-17,1240.0
2017-03-16,1172.0,1147.0,1112.0,1099.0,1033.0,875.0,770.0,1150.0,877.0,505.0,1103.571428571429,950.05,887.6333333333333,44.6574261942087,136.19624965856045,120.9538315992739,25.0,73.0,139.0,297.0,0.0217959895379249,0.0664240218380345,0.1345595353339788,0.3394285714285714,68.4285714285711,221.95000000000005,284.3666666666667,0.2336192831956213,0.3203650155845131,0.143356928223315,0.1362655356182439,-35.0,0.0,3.0,0.9812286689419796,0.7482935153583617,0.4308873720136519,273.0,372.0,645.0,3,1,3,1.0,6.123233995736766e-17,1282.0
2017-03-17,1196.0,1172.0,1147.0,1112.0,1045.0,878.0,752.0,1129.0,877.0,508.0,1125.142857142857,972.8,891.4666666666667,47.99454334069154,137.43461603327935,126.9743690494054,24.0,84.0,151.0,318.0,0.0204778156996587,0.0755395683453237,0.1444976076555024,0.3621867881548974,70.85714285714289,223.20000000000005,304.5333333333333,0.2294407894736842,0.3416093329344899,0.1412773602315783,0.1424331091640054,-21.0,0.0,3.0,0.943979933110368,0.7332775919732442,0.4247491638795986,252.0,369.0,621.0,3,1,4,1.0,6.123233995736766e-17,1333.0
2017-03-20,1205.0,1196.0,1172.0,1147.0,1064.0,859.0,735.0,1108.0,879.0,508.0,1145.2857142857142,995.2,895.7833333333333,47.643517522428354,136.91895412982274,133.11382814325552,9.0,58.0,141.0,346.0,0.0075250836120401,0.050566695727986,0.1325187969924812,0.4027939464493597,59.71428571428578,209.79999999999995,309.2166666666667,0.2108118971061092,0.3451913595177405,0.1375793349375228,0.1486004742328935,-21.0,2.0,0.0,0.9195020746887966,0.729460580912863,0.4215767634854772,229.0,371.0,600.0,3,1,0,1.0,6.123233995736766e-17,1338.0
2017-03-21,1200.0,1205.0,1196.0,1172.0,1086.0,871.0,714.0,1103.0,884.0,510.0,1161.571428571429,1016.3,900.3333333333334,43.28532138755696,134.174317096923,138.74555013992364,-5.0,28.0,114.0,329.0,-0.0041493775933609,0.023890784982935,0.1049723756906078,0.3777267508610793,38.428571428571104,183.70000000000005,299.66666666666663,0.1807537144543934,0.3328396890040725,0.1320223527471445,0.1541046465826623,-5.0,5.0,2.0,0.9191666666666668,0.7366666666666667,0.425,219.0,374.0,593.0,3,1,1,1.0,6.123233995736766e-17,1324.0
2017-03-22,1190.0,1200.0,1205.0,1196.0,1099.0,904.0,702.0,1101.0,886.0,512.0,1174.571428571429,1035.5,904.9333333333332,34.03849361566983,129.9038105676838,143.69339612664754,-10.0,-6.0,91.0,286.0,-0.0083333333333333,-0.0050167224080267,0.0828025477707006,0.3163716814159292,15.428571428571104,154.5,285.06666666666683,0.1492032834379526,0.3150139973478711,0.1254503240634319,0.158788930447894,-2.0,2.0,2.0,0.9252100840336136,0.7445378151260504,0.4302521008403361,215.0,374.0,589.0,3,1,2,1.0,6.123233995736766e-17,1297.0
2017-03-23,1196.0,1190.0,1200.0,1205.0,1112.0,939.0,707.0,1119.0,888.0,516.0,1186.571428571429,1052.5,909.4333333333332,20.3621965323956,127.400115673766,148.51129805416022,6.0,-9.0,84.0,257.0,0.0050420168067226,-0.0074688796680497,0.0755395683453237,0.2736954206602768,9.428571428571104,143.5,286.56666666666683,0.1363420427553444,0.315104643917458,0.1210452405451458,0.1633009178471871,18.0,2.0,4.0,0.93561872909699,0.7424749163879598,0.431438127090301,231.0,372.0,603.0,3,1,3,1.0,6.123233995736766e-17,1282.0
2017-03-24,1240.0,1196.0,1190.0,1200.0,1147.0,979.0,702.0,1170.0,892.0,521.0,1199.857142857143,1070.75,914.6333333333332,20.57853713170452,126.77658550214932,154.5133384256079,44.0,40.0,93.0,261.0,0.0367892976588628,0.0333333333333334,0.0810810810810811,0.2665985699693565,40.14285714285711,169.25,325.3666666666668,0.1580667756245622,0.355734538430701,0.1183997996751336,0.1689347335095389,51.0,4.0,5.0,0.9435483870967742,0.7193548387096774,0.4201612903225806,278.0,371.0,649.0,3,1,4,1.0,6.123233995736766e-17,1255.0
