fold,train_start,train_end,validation_start,validation_end,naive_mae,naive_rmse,linear_mae,linear_rmse
93,2010-03-26,2022-12-13,2022-12-14,2022-12-22,397.42857142857144,425.015629964694,424.0059312726319,464.38175350050926
94,2010-03-26,2022-12-22,2022-12-23,2023-01-10,277.85714285714283,290.73576614218916,118.65834318549014,139.71420975433605
95,2010-03-26,2023-01-10,2023-01-11,2023-01-19,221.0,225.87955070915876,86.92969388352505,99.30697621585134
96,2010-03-26,2023-01-19,2023-01-20,2023-01-30,76.85714285714286,77.00463807923705,58.82969119244581,65.18120851858319
97,2010-03-26,2023-01-30,2023-01-31,2023-02-08,62.857142857142854,65.43480943438504,121.49588177156093,128.90792372337316
98,2010-03-26,2023-02-08,2023-02-09,2023-02-17,222.57142857142858,281.40717830218904,249.72023037365503,278.6643930497966
99,2010-03-26,2023-02-17,2023-02-20,2023-02-28,467.57142857142856,472.64498909253837,312.8318575868483,336.50363346536676
100,2010-03-26,2023-02-28,2023-03-01,2023-03-09,285.57142857142856,294.44936503824994,64.10053332839288,70.2486367567911
101,2010-03-26,2023-03-09,2023-03-10,2023-03-20,98.0,105.66794351038675,134.5027612293047,160.76092670940048
102,2010-03-26,2023-03-20,2023-03-21,2023-03-29,84.42857142857143,93.75880910994063,147.63231019518457,185.1887438963355
103,2010-03-26,2023-03-29,2023-03-30,2023-04-11,91.14285714285714,106.19658321111035,128.17247471652817,144.27175406818313
104,2010-03-26,2023-04-11,2023-04-12,2023-04-20,118.71428571428571,134.6864082653798,145.8520941964484,167.62115379857244
105,2010-03-26,2023-04-20,2023-04-21,2023-05-02,41.285714285714285,45.33841007988071,46.6663173961501,54.76972421821169
106,2010-03-26,2023-05-02,2023-05-03,2023-05-12,163.28571428571428,181.59885147528564,229.62309198745217,243.5177226851461
107,2010-03-26,2023-05-12,2023-05-15,2023-05-23,326.2857142857143,336.87089515124336,297.2785688813231,310.0394121506538
108,2010-03-26,2023-05-23,2023-05-24,2023-06-02,163.14285714285714,185.39533050060504,163.01753817359534,193.20144518337568
109,2010-03-26,2023-06-02,2023-06-05,2023-06-13,78.0,90.12847972279826,60.39411829678784,72.13584896061418
110,2010-03-26,2023-06-13,2023-06-14,2023-06-22,101.28571428571429,111.66851455471745,125.2616130602903,184.78793037143137
111,2010-03-26,2023-06-22,2023-06-23,2023-07-03,131.57142857142858,151.13995406339686,229.661588950396,263.97686434002856
112,2010-03-26,2023-07-03,2023-07-04,2023-07-12,64.0,71.11961754677819,81.87548882012449,103.04712821266054
113,2010-03-26,2023-07-12,2023-07-13,2023-07-21,108.28571428571429,120.61509026651682,117.45996095744617,128.4508613605469
114,2010-03-26,2023-07-21,2023-07-24,2023-08-01,71.57142857142857,92.9200885553972,101.49467973934964,117.22508632047227
115,2010-03-26,2023-08-01,2023-08-02,2023-08-10,59.285714285714285,71.51323553820549,52.076926628847396,58.03809664640671
116,2010-03-26,2023-08-10,2023-08-11,2023-08-21,101.42857142857143,113.29102851884231,146.04671681346025,168.8475357903832
117,2010-03-26,2023-08-21,2023-08-22,2023-08-31,70.57142857142857,83.00086058073649,71.02838015593433,87.92190861734231
118,2010-03-26,2023-08-31,2023-09-01,2023-09-11,281.0,288.71810275274197,248.24630186202873,253.374472551027
119,2010-03-26,2023-09-11,2023-09-12,2023-09-20,263.42857142857144,273.64419024920454,130.70477664022306,144.34450695553892
120,2010-03-26,2023-09-20,2023-09-21,2023-09-29,198.0,205.02822105400864,130.3425988769471,163.76769340201665
121,2010-03-26,2023-09-29,2023-10-02,2023-10-10,144.14285714285714,148.7284198031528,165.58510036692087,174.45227464133143
122,2010-03-26,2023-10-10,2023-10-11,2023-10-19,261.57142857142856,340.227864820035,254.60071266438098,293.2834149220187
123,2010-03-26,2023-10-19,2023-10-20,2023-10-30,329.7142857142857,413.89129007506307,306.648261269613,330.9742566927707
124,2010-03-26,2023-10-30,2023-10-31,2023-11-08,215.0,220.94310838507081,313.06757573496316,327.7434451635786
125,2010-03-26,2023-11-08,2023-11-09,2023-11-17,307.2857142857143,351.94500382060505,247.80544173633035,282.34619002726686
126,2010-03-26,2023-11-17,2023-11-20,2023-11-28,954.5714285714286,1055.8672806208715,850.282523044898,961.5347130820118
127,2010-03-26,2023-11-28,2023-11-29,2023-12-07,518.4285714285714,572.2850188997986,715.4441245050508,815.8349965929374
128,2010-03-26,2023-12-07,2023-12-08,2023-12-18,315.42857142857144,325.17819290791493,164.61946118658724,213.04723507778536
129,2010-03-26,2023-12-18,2023-12-19,2024-01-04,396.42857142857144,458.8599226032151,297.94033412179573,339.81496494697984
130,2010-03-26,2024-01-04,2024-01-05,2024-01-15,339.2857142857143,454.3301191235918,360.04441287227746,395.09676679998785
131,2010-03-26,2024-01-15,2024-01-16,2024-01-24,128.42857142857142,135.32764473148652,261.2315076178267,283.9584692904996
132,2010-03-26,2024-01-24,2024-01-25,2024-02-02,96.71428571428571,118.09620775331562,83.5617224185559,87.01768752513628
133,2010-03-26,2024-02-02,2024-02-05,2024-02-13,121.14285714285714,126.08387231181813,84.32225014681879,91.42502375370333
134,2010-03-26,2024-02-13,2024-02-14,2024-02-22,403.7142857142857,417.8543833852718,351.3282819932804,371.815969740649
135,2010-03-26,2024-02-22,2024-02-23,2024-03-04,262.42857142857144,287.50130434486726,217.1190780057545,258.0773046657216
136,2010-03-26,2024-03-04,2024-03-05,2024-03-13,116.28571428571429,129.65228222331564,138.55594386274427,185.54248490216182
137,2010-03-26,2024-03-13,2024-03-14,2024-03-22,483.2857142857143,498.24563649440455,312.59855959548815,343.73052280511484
138,2010-03-26,2024-03-22,2024-03-25,2024-04-04,214.57142857142858,276.7288513018784,178.5536402925522,208.5407371635397
139,2010-03-26,2024-04-04,2024-04-05,2024-04-15,196.42857142857142,223.45053783140207,275.01353202655815,317.77573988383307
140,2010-03-26,2024-04-15,2024-04-16,2024-04-24,133.71428571428572,154.55465977169,198.66927140504404,237.82413368446575
141,2010-03-26,2024-04-24,2024-04-25,2024-05-03,336.85714285714283,371.9443122680752,307.85326493665076,341.1375003830761
142,2010-03-26,2024-05-03,2024-05-07,2024-05-15,256.42857142857144,269.20915925831986,346.91542203138357,408.3363839741665
143,2010-03-26,2024-05-15,2024-05-16,2024-05-24,31.857142857142858,37.123346524025244,84.70885752810159,90.62276628739262
144,2010-03-26,2024-05-24,2024-05-28,2024-06-05,75.28571428571429,83.7743567993384,88.45670302122247,108.13897850171948
145,2010-03-26,2024-06-05,2024-06-06,2024-06-14,83.71428571428571,97.84535904024415,73.02474638568674,102.77385378300939
146,2010-03-26,2024-06-14,2024-06-17,2024-06-25,105.0,117.90492537876197,44.9083663337263,48.89421162282869
147,2010-03-26,2024-06-25,2024-06-26,2024-07-04,113.57142857142857,141.25913371227668,192.10160567489515,223.8354133947628
148,2010-03-26,2024-07-04,2024-07-05,2024-07-15,62.42857142857143,75.96521760460037,80.0128640874763,98.28984997590275
149,2010-03-26,2024-07-15,2024-07-16,2024-07-24,146.14285714285714,152.44624345275662,114.48398386209465,127.10487533377547
150,2010-03-26,2024-07-24,2024-07-25,2024-08-02,73.42857142857143,90.59959003376181,66.63758013017458,79.1796527304594
151,2010-03-26,2024-08-02,2024-08-05,2024-08-13,51.0,63.21053257623628,30.09981718082372,33.89226229830373
152,2010-03-26,2024-08-13,2024-08-14,2024-08-22,94.85714285714286,109.63315452648698,55.52019059321791,68.24185919630249
153,2010-03-26,2024-08-22,2024-08-23,2024-09-03,120.85714285714286,135.76555422597337,104.252430676763,120.99312390705896
154,2010-03-26,2024-09-03,2024-09-04,2024-09-12,37.714285714285715,43.918756162454585,81.91117898851027,97.45328576434521
155,2010-03-26,2024-09-12,2024-09-13,2024-09-23,119.42857142857143,135.85181002001514,133.97275535388,155.9979485670447
156,2010-03-26,2024-09-23,2024-09-24,2024-10-02,184.14285714285714,198.85924670479872,166.4410930997223,193.50555018055846
157,2010-03-26,2024-10-02,2024-10-03,2024-10-11,226.0,234.21479762938,123.08728578738143,146.29454645612645
158,2010-03-26,2024-10-11,2024-10-14,2024-10-22,230.42857142857142,249.34285059503338,125.88461791378771,158.83727416263008
159,2010-03-26,2024-10-22,2024-10-23,2024-10-31,68.42857142857143,84.25217250272287,104.49337698056044,121.85260040849894
160,2010-03-26,2024-10-31,2024-11-01,2024-11-11,236.0,255.0680581447122,218.9201664936543,244.51513482948906
161,2010-03-26,2024-11-11,2024-11-12,2024-11-20,176.42857142857142,190.1559510356847,220.1198945215828,243.5628986123486
162,2010-03-26,2024-11-20,2024-11-21,2024-11-29,305.57142857142856,312.9342696843175,203.4694507790671,239.09468637818935
163,2010-03-26,2024-11-29,2024-12-02,2024-12-10,146.57142857142858,150.9711419917254,41.010273282573266,49.189483110406485
164,2010-03-26,2024-12-10,2024-12-11,2024-12-19,49.42857142857143,58.51007239295275,75.92228404447155,90.13759334337895
165,2010-03-26,2024-12-19,2024-12-20,2025-01-07,28.571428571428573,34.694585827104,29.983924857157472,38.117305905888806
166,2010-03-26,2025-01-07,2025-01-08,2025-01-16,165.14285714285714,196.5378916574177,202.88386641284464,223.52606956801372
167,2010-03-26,2025-01-16,2025-01-17,2025-01-27,137.71428571428572,164.7057983193063,114.66048627602227,125.90842266534618
168,2010-03-26,2025-01-27,2025-01-28,2025-02-05,54.57142857142857,60.869884648673825,79.84690906827079,96.72561279921933
169,2010-03-26,2025-02-05,2025-02-06,2025-02-14,135.42857142857142,161.15121558869572,125.05055463988195,148.6304193087849
170,2010-03-26,2025-02-14,2025-02-17,2025-02-25,291.14285714285717,293.66063990356525,195.75479695133973,206.19263507115195
171,2010-03-26,2025-02-25,2025-02-26,2025-03-06,320.57142857142856,329.39685140311485,175.4650313463557,219.9059545654947
172,2010-03-26,2025-03-06,2025-03-07,2025-03-17,114.14285714285714,149.20503629952597,97.78969435161422,113.3794334828296
173,2010-03-26,2025-03-17,2025-03-18,2025-03-26,67.57142857142857,78.15826434686409,12.546621938327885,18.18056419854676
174,2010-03-26,2025-03-26,2025-03-27,2025-04-04,275.7142857142857,279.0714194303264,155.32407048339692,166.13785507432718
