Fold,Train_Start,Train_End,Validation_Start,Validation_End,Naive_MAE,Naive_RMSE,Linear_MAE,Linear_RMSE,XGBoost_MAE,XGBoost_RMSE,LightGBM_MAE,LightGBM_RMSE
98,2012-07-05,2023-02-21,2023-02-22,2023-03-02,402.85714285714283,408.650741552525,170.47079172528103,196.93796665857582,246.7728271484375,280.92726201599953,268.31144476919866,296.64259878501474
99,2012-07-05,2023-03-02,2023-03-03,2023-03-13,207.28571428571428,241.04030486918276,129.71641939012648,144.830581248338,89.84099469866071,111.64609477544015,85.41639251035265,97.03606682997074
100,2012-07-05,2023-03-13,2023-03-14,2023-03-22,109.28571428571429,111.29433306071145,79.73829125711619,108.7440348156661,145.41873604910714,147.9960205898364,143.07398609535986,147.38086225218643
101,2012-07-05,2023-03-22,2023-03-23,2023-03-31,78.42857142857143,88.02678163896647,164.2597435052237,184.77981105812918,135.84347098214286,154.15576150284625,119.9058033468875,140.1520974968667
102,2012-07-05,2023-03-31,2023-04-03,2023-04-13,85.57142857142857,103.13998808831201,90.86224796518066,120.34187275550546,60.224783761160715,69.04364393269863,57.355850481716125,66.38479871443829
103,2012-07-05,2023-04-13,2023-04-14,2023-04-24,116.85714285714286,134.20985699376075,121.53740647915467,144.44246278490613,137.05156598772322,150.48009374441807,149.62576004539332,160.30602278438565
104,2012-07-05,2023-04-24,2023-04-25,2023-05-04,44.57142857142857,48.910997886832305,73.36923187470724,78.41427751472072,82.27015904017857,93.73563093994099,74.72832753947516,85.36468089825316
105,2012-07-05,2023-05-04,2023-05-05,2023-05-16,218.0,221.82361074897838,199.23189925894317,206.54573182936863,134.95854840959822,141.10042533387463,145.25332418524954,152.81402298212643
106,2012-07-05,2023-05-16,2023-05-17,2023-05-25,335.85714285714283,346.62886698682706,256.28995913639244,276.679183521274,298.1578369140625,311.5466085781683,303.0765113894176,316.09198067595804
107,2012-07-05,2023-05-25,2023-05-26,2023-06-06,115.0,119.49118317743304,151.44759231251095,188.19413793772813,134.23014613560267,143.05934987714534,118.72733606331323,125.09344947947915
108,2012-07-05,2023-06-06,2023-06-07,2023-06-15,89.71428571428571,104.48513223010659,74.93027170985853,89.94840056518164,101.02743094308036,121.96903406817623,85.08513739774874,106.06510282880296
109,2012-07-05,2023-06-15,2023-06-16,2023-06-26,120.57142857142857,140.195781473114,173.12523092117786,200.1205624539234,118.31748744419643,141.05710006160137,122.19662237097246,151.0404606488254
110,2012-07-05,2023-06-26,2023-06-27,2023-07-05,91.57142857142857,104.92378186092989,102.62463927011163,122.22286255254153,86.11525181361607,102.39270210565779,88.69199428328906,104.59569297880384
111,2012-07-05,2023-07-05,2023-07-06,2023-07-14,79.57142857142857,90.7028114227999,56.281686092126506,68.24243181356029,51.907749720982146,58.111558935934376,60.58218888373468,65.44411015107197
112,2012-07-05,2023-07-14,2023-07-17,2023-07-25,116.57142857142857,130.3007510119789,187.5094442042625,194.46213474757724,124.38369315011161,135.16112372893235,116.5040207779039,129.24261731485203
113,2012-07-05,2023-07-25,2023-07-26,2023-08-03,27.428571428571427,35.11613385814072,36.50153107288371,42.06483876448549,71.54445103236607,75.72786772889003,70.69234377036166,76.74260638772033
114,2012-07-05,2023-08-03,2023-08-04,2023-08-14,69.0,75.77692826410198,94.39212341335428,102.21637135602421,79.43038504464286,86.71544225646421,67.50014558877676,73.69531662473108
115,2012-07-05,2023-08-14,2023-08-15,2023-08-23,118.0,123.42030395591898,117.7941934906065,128.65384205418795,147.44918387276786,148.83993967176835,166.66321786559692,169.7792073743967
116,2012-07-05,2023-08-23,2023-08-24,2023-09-04,96.28571428571429,118.74823306956132,98.79904870313115,121.88711008930065,82.94965471540179,98.33978481528531,88.48552748890522,101.35964004419569
117,2012-07-05,2023-09-04,2023-09-05,2023-09-13,318.14285714285717,319.6254504438415,222.81014622524683,230.0920809227123,313.67136928013394,318.5787343787595,312.9121917635048,318.30888898220815
118,2012-07-05,2023-09-13,2023-09-14,2023-09-22,223.14285714285714,234.21479762938,82.29997787624234,89.30644919803467,196.207763671875,200.60138452372482,186.27323463330748,195.09537980741695
119,2012-07-05,2023-09-22,2023-09-25,2023-10-03,199.57142857142858,206.8847159997222,164.04448634813838,193.95329456590073,198.78632463727678,215.9338054032112,227.72412490791643,241.522415693423
120,2012-07-05,2023-10-03,2023-10-04,2023-10-12,117.57142857142857,121.08025673671398,163.29916788167557,170.04267675235428,230.58297293526786,235.139744119957,243.97171491980023,248.05431673959083
121,2012-07-05,2023-10-12,2023-10-13,2023-10-23,407.7142857142857,465.67646647492444,318.88562265528196,358.69554733894057,357.60902622767856,396.6944430738138,369.3187435251134,409.57658876290935
122,2012-07-05,2023-10-23,2023-10-24,2023-11-01,212.28571428571428,281.06989471354933,247.16506409937568,262.65203885894135,215.89726911272322,242.71963271246355,225.64623368554456,254.8237285165257
123,2012-07-05,2023-11-01,2023-11-02,2023-11-10,213.71428571428572,218.82674164083068,193.90696009116525,216.67517563586506,310.19557407924106,312.3575763518089,304.73390213190436,307.858320589137
124,2012-07-05,2023-11-10,2023-11-13,2023-11-21,542.7142857142857,640.3357378304424,464.4063227504404,574.2635599366071,534.790265764509,630.025693886569,534.8155586785757,627.2034800895387
125,2012-07-05,2023-11-21,2023-11-22,2023-11-30,757.5714285714286,922.5756647250442,805.5499128673719,905.2562463237675,676.0455671037946,847.5608779393477,724.0460570285261,887.4357235304757
126,2012-07-05,2023-11-30,2023-12-01,2023-12-11,515.8571428571429,568.5313158858157,499.0775135204006,683.6712989785038,340.0096958705357,371.3015436267951,317.49776792496584,344.3423171631303
127,2012-07-05,2023-12-11,2023-12-12,2023-12-20,260.2857142857143,285.3253781712581,214.1826759913625,227.64980363373985,145.50898088727678,149.83456998696727,130.50837662877623,140.47817438588206
128,2012-07-05,2023-12-20,2023-12-21,2024-01-08,576.8571428571429,606.2995487852047,359.9531830073949,404.77640788978937,383.44290597098217,409.7965305755415,417.76222562869583,448.2803618052725
