Date,BDI,BDI_lag_1,BDI_lag_2,BDI_lag_3,BDI_lag_7,BDI_lag_14,BDI_lag_30,BDI_mean_7,BDI_mean_20,BDI_mean_60,BDI_std_7,BDI_std_20,BDI_std_60,BDI_change_1,BDI_change_3,BDI_change_7,BDI_change_14,BDI_pct_change_1,BDI_pct_change_3,BDI_pct_change_7,BDI_pct_change_14,BDI_vs_mean_7,BDI_vs_mean_20,BDI_vs_mean_60,BDI_vs_mean_20_pct,BDI_vs_mean_60_pct,BDI_volatility_ratio,BDI_long_volatility_ratio,month,quarter,day_of_week,month_sin,month_cos,BDI_target_7
2023-01-10,1096.0,1139.0,1130.0,1146.0,1650.0,1357.0,1177.0,1207.428571428571,1383.0,1446.1166666666666,143.91416092337772,185.7173857462273,232.2765076125895,-43.0,-50.0,-554.0,-261.0,-0.0377524143985952,-0.043630017452007,-0.3357575757575758,-0.1923360353721444,-111.4285714285711,-287.0,-350.11666666666656,-0.2075198843094721,-0.2421081747669044,0.1342858899105042,0.1606208634245205,1,1,1,0.4999999999999999,0.8660254037844387,801.0
2023-01-11,1043.0,1096.0,1139.0,1130.0,1515.0,1401.0,1149.0,1140.0,1368.15,1431.7666666666669,64.39202849209815,200.6133424223985,230.0950700100697,-53.0,-87.0,-472.0,-358.0,-0.0483576642335766,-0.0769911504424778,-0.3115511551155115,-0.2555317630264097,-97.0,-325.1500000000001,-388.7666666666669,-0.2376566896904579,-0.271529346029381,0.1466311021616039,0.1607071007916115,1,1,2,0.4999999999999999,0.8660254037844387,763.0
2023-01-12,976.0,1043.0,1096.0,1139.0,1250.0,1528.0,1184.0,1100.857142857143,1348.3,1416.8166666666666,69.4608488560513,218.9143307563894,230.0813041017815,-67.0,-163.0,-274.0,-552.0,-0.0642377756471715,-0.1431079894644424,-0.2191999999999999,-0.3612565445026178,-124.85714285714288,-372.3,-440.8166666666666,-0.2761254913594897,-0.3111317625192626,0.1623632209125487,0.1623931377396145,1,1,3,0.4999999999999999,0.8660254037844387,740.0
2023-01-13,946.0,976.0,1043.0,1096.0,1176.0,1560.0,1242.0,1068.0,1326.35,1402.2833333333333,81.36952746571372,236.354834718328,231.84427061976456,-30.0,-150.0,-230.0,-614.0,-0.0307377049180327,-0.1368613138686131,-0.195578231292517,-0.3935897435897436,-122.0,-380.3499999999999,-456.2833333333333,-0.2867644286952915,-0.3253859776317196,0.1781994456352607,0.1653333995410565,1,1,4,0.4999999999999999,0.8660254037844387,721.0
2023-01-16,946.0,946.0,976.0,1043.0,1146.0,1548.0,1324.0,1039.428571428571,1304.35,1387.4166666666667,84.47062042082523,250.5611124109697,232.03004566305057,0.0,-97.0,-200.0,-602.0,0.0,-0.0930009587727708,-0.1745200698080279,-0.3888888888888888,-93.4285714285711,-358.3499999999999,-441.41666666666674,-0.2747345421090964,-0.3181572466814824,0.1920965326875223,0.1672389061178813,1,1,0,0.4999999999999999,0.8660254037844387,703.0
2023-01-17,921.0,946.0,946.0,976.0,1130.0,1596.0,1347.0,1009.5714285714286,1282.35,1372.05,84.05723673552656,264.267064877442,231.877336435764,-25.0,-55.0,-209.0,-675.0,-0.0264270613107822,-0.0563524590163934,-0.1849557522123893,-0.4229323308270677,-88.57142857142856,-361.3499999999999,-451.05,-0.281787343548953,-0.3287416639335301,0.206080293895927,0.1690006460666623,1,1,1,0.4999999999999999,0.8660254037844387,677.0
2023-01-18,874.0,921.0,946.0,946.0,1139.0,1723.0,1327.0,971.7142857142856,1258.2,1355.3666666666666,75.26556159292197,278.758261619352,231.0863780587169,-47.0,-72.0,-265.0,-849.0,-0.0510314875135722,-0.0761099365750528,-0.2326602282704126,-0.4927452118398142,-97.71428571428557,-384.2000000000001,-481.36666666666656,-0.3053568590049277,-0.3551560463343252,0.2215532201711588,0.170497315406938,1,1,2,0.4999999999999999,0.8660254037844387,676.0
2023-01-19,801.0,874.0,921.0,946.0,1096.0,1650.0,1355.0,929.5714285714286,1228.2,1337.5333333333333,76.65258669876746,294.42693669673247,231.9050409598757,-73.0,-145.0,-295.0,-849.0,-0.0835240274599542,-0.1532769556025369,-0.2691605839416058,-0.5145454545454545,-128.57142857142856,-427.2000000000001,-536.5333333333333,-0.3478260869565218,-0.4011364202761301,0.2397223063806647,0.1733826254497401,1,1,3,0.4999999999999999,0.8660254037844387,680.0
2023-01-20,763.0,801.0,874.0,921.0,1043.0,1515.0,1338.0,889.5714285714286,1189.95,1319.6333333333334,80.5540339209977,302.9961741985153,234.13794041386373,-38.0,-158.0,-280.0,-752.0,-0.0474406991260923,-0.1715526601520086,-0.2684563758389261,-0.4963696369636964,-126.57142857142856,-426.9500000000001,-556.6333333333334,-0.3587965880919366,-0.4218090883831368,0.2546293324917141,0.177426512728685,1,1,4,0.4999999999999999,0.8660254037844387,681.0
2023-01-23,740.0,763.0,801.0,874.0,976.0,1250.0,1324.0,855.8571428571429,1148.95,1301.65,87.44413182409059,305.75402480458,236.557860123996,-23.0,-134.0,-236.0,-510.0,-0.0301441677588466,-0.1533180778032036,-0.2418032786885245,-0.408,-115.85714285714288,-408.9500000000001,-561.6500000000001,-0.3559336785760912,-0.431490800138286,0.2661160405627573,0.1817369186217462,1,1,0,0.4999999999999999,0.8660254037844387,668.0
2023-01-24,721.0,740.0,763.0,801.0,946.0,1176.0,1323.0,823.7142857142857,1107.6,1283.7166666666667,90.09941599087858,304.8665627001759,239.14055803476504,-19.0,-80.0,-225.0,-455.0,-0.0256756756756756,-0.0998751560549313,-0.2378435517970402,-0.3869047619047618,-102.71428571428568,-386.5999999999999,-562.7166666666667,-0.3490429758035391,-0.4383495838905262,0.2752496954678367,0.1862876476128676,1,1,1,0.4999999999999999,0.8660254037844387,640.0
2023-01-25,703.0,721.0,740.0,763.0,946.0,1146.0,1340.0,789.0,1062.95,1266.1833333333334,81.53731252209529,294.79903502660886,242.54242974373105,-18.0,-60.0,-243.0,-443.0,-0.0249653259361997,-0.0786369593709043,-0.2568710359408034,-0.3865619546247818,-86.0,-359.95000000000005,-563.1833333333334,-0.3386330495319629,-0.4447881428439799,0.2773404534800403,0.1915539585450219,1,1,2,0.4999999999999999,0.8660254037844387,621.0
2023-01-26,677.0,703.0,721.0,740.0,921.0,1130.0,1373.0,754.1428571428571,1010.65,1249.0333333333333,66.46409700333386,262.5591211617885,247.25043686731428,-26.0,-63.0,-244.0,-453.0,-0.0369843527738265,-0.0851351351351351,-0.264929424538545,-0.4008849557522124,-77.14285714285711,-333.65,-572.0333333333333,-0.3301340721317963,-0.4579808385151183,0.2597923328172844,0.1979534334824111,1,1,3,0.4999999999999999,0.8660254037844387,608.0
2023-01-27,676.0,677.0,703.0,721.0,874.0,1139.0,1385.0,725.8571428571429,961.95,1233.4333333333334,45.90725640319268,225.4348954914704,253.4124638532264,-1.0,-45.0,-198.0,-463.0,-0.001477104874446,-0.0624133148404992,-0.2265446224256293,-0.4064969271290606,-49.85714285714289,-285.95000000000005,-557.4333333333334,-0.2972607723894173,-0.4519363294867984,0.2343519886599827,0.2054529069425936,1,1,4,0.4999999999999999,0.8660254037844387,601.0
2023-01-30,680.0,676.0,677.0,703.0,801.0,1096.0,1386.0,708.5714285714286,920.2,1219.2,34.18019476653024,192.54079540378805,260.1384116587625,4.0,-23.0,-121.0,-416.0,0.0059171597633136,-0.0327169274537695,-0.1510611735330836,-0.3795620437956204,-28.571428571428555,-240.20000000000005,-539.2,-0.261030210823734,-0.442257217847769,0.2092379867461291,0.2133681197988537,1,1,0,0.4999999999999999,0.8660254037844387,603.0
2023-01-31,681.0,680.0,676.0,677.0,763.0,1043.0,1361.0,696.8571428571429,891.75,1206.1666666666667,25.32079890396524,183.0484189612048,267.21020524170814,1.0,4.0,-82.0,-362.0,0.0014705882352941,0.0059084194977843,-0.1074705111402358,-0.3470757430488974,-15.85714285714289,-210.75,-525.1666666666667,-0.2363330529857022,-0.4354014094237944,0.2052687625020519,0.2215367184538135,1,1,1,0.4999999999999999,0.8660254037844387,592.0
